timestamp,plant_id,feature_1,shap_1,feature_2,shap_2,feature_3,shap_3
2025-11-01 00:00:00,SOLAR_1,generation_lag_1h,-20.225409408435894,wind_speed_ms,-13.977361611453569,generation_lag_24h,-13.775509295419432
2025-11-01 00:00:00,SOLAR_2,generation_lag_1h,-24.535003586864843,generation_lag_24h,-14.920965061051623,capacity_mw,-6.929071477604257
2025-11-01 00:00:00,SOLAR_3,generation_lag_1h,-20.35701125326621,wind_speed_ms,-14.01034320295049,generation_lag_24h,-13.939477709961489
2025-11-01 00:00:00,SOLAR_4,generation_lag_1h,-24.95944163756205,generation_lag_24h,-15.212787166313442,capacity_mw,-5.97479794176696
2025-11-01 00:00:00,SOLAR_5,generation_lag_1h,-19.779903624840856,wind_speed_ms,-13.870131681141748,generation_lag_24h,-12.796844474224986
2025-11-01 00:00:00,WIND_1,wind_speed_ms,-21.09240179120458,generation_lag_1h,-14.260901452775816,capacity_mw,2.8050222860481897
2025-11-01 00:00:00,WIND_2,wind_speed_ms,-43.11805859302225,capacity_mw,17.16084853927221,generation_lag_1h,4.163182543106734
2025-11-01 00:00:00,WIND_3,wind_speed_ms,-44.20358823132618,capacity_mw,16.264969761744602,wind_speed_cubed,-3.600712067471148
2025-11-01 01:00:00,SOLAR_1,generation_lag_1h,-20.009497535343282,wind_speed_ms,-14.50230811640326,generation_lag_24h,-13.474610385017769
2025-11-01 01:00:00,SOLAR_2,generation_lag_1h,-25.087403736571005,generation_lag_24h,-15.010501260597966,capacity_mw,-6.987835803501351
2025-11-01 01:00:00,SOLAR_3,generation_lag_1h,-20.176811180289313,wind_speed_ms,-14.525809243622199,generation_lag_24h,-13.643326613921026
2025-11-01 01:00:00,SOLAR_4,generation_lag_1h,-25.48732406117708,generation_lag_24h,-15.278913906243252,capacity_mw,-6.069284632591146
2025-11-01 01:00:00,SOLAR_5,generation_lag_1h,-19.551475515708784,wind_speed_ms,-14.361680462141237,generation_lag_24h,-12.508093804474296
2025-11-01 01:00:00,WIND_1,wind_speed_ms,-20.377691812577808,generation_lag_1h,-13.619772777826546,generation_lag_24h,3.9560956673932957
2025-11-01 01:00:00,WIND_2,wind_speed_ms,-42.54723188573855,capacity_mw,18.308799090285365,generation_lag_24h,8.460600069939975
2025-11-01 01:00:00,WIND_3,wind_speed_ms,-35.90485999828522,capacity_mw,20.152191627043276,generation_lag_24h,11.652657515353296
2025-11-01 02:00:00,SOLAR_1,generation_lag_1h,-20.195917266026594,wind_speed_ms,-13.7230268706239,generation_lag_24h,-13.63455013222696
2025-11-01 02:00:00,SOLAR_2,generation_lag_1h,-28.06064298757161,generation_lag_24h,-15.93142162725205,capacity_mw,-9.948320876799709
2025-11-01 02:00:00,SOLAR_3,generation_lag_1h,-20.330458262899533,generation_lag_24h,-13.802980023060428,wind_speed_ms,-13.760794686502441
2025-11-01 02:00:00,SOLAR_4,generation_lag_1h,-28.67314911980184,generation_lag_24h,-16.248745888001846,capacity_mw,-8.912930129482866
2025-11-01 02:00:00,SOLAR_5,generation_lag_1h,-19.74083126489138,wind_speed_ms,-13.600277396855322,generation_lag_24h,-12.63310770109352
2025-11-01 02:00:00,WIND_1,wind_speed_ms,-22.977005248502092,generation_lag_1h,-10.241017225983281,generation_lag_24h,-4.322023838053898
2025-11-01 02:00:00,WIND_2,wind_speed_ms,-42.10669842698219,capacity_mw,19.157639109031688,generation_lag_1h,6.807806719402257
2025-11-01 02:00:00,WIND_3,wind_speed_ms,-42.33148069056777,capacity_mw,19.59052070433808,generation_lag_1h,7.348252255390276
